,label,text
49,Pos,RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...
50,Neutral,Stay hungry stay foolish. Steve Jobs founder @Apple #WinningWithEL
51,Neg,why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple
52,Neg,Where is my iPhone!?!?!?!@apple
53,Pos,&lt;3 #ios5 @apple
54,Neutral,#Iphone5 can you please make The battery last longer thanks @Apple
55,Neg,Also @EricGreenspan don't forget @Apple stop closing the app store after each bloody purchase...
56,Neg,@samsung @apple you do realise you're just really pissing off the customer base AS WELL AS looking petty.
57,Pos,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
58,Neg,RT @nansen: so this SMS full message is known @apple issue with new iOS5 update. trying restore. When all else #fail - restore.
59,Neutral,You need to ask #Siri her favorite color and the average speed of an unladen swallow. Seems Someone @apple is a Monty python fan
60,Pos,@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?
61,Neg,@Apple unhappy again with service/product quality. Won't buy @Apple again.
62,Neg,@apple you can suck it you and your fucking iPhones better be glad it's all I like cause the service Is fucking terrible
63,Neutral,If you sign up for iClould will you also get iRain? @apple #icloud.
64,Neg,RT @phxguy88: Oh just fuck you @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR
65,Neutral,This video brought a small tear to my eye http://t.co/3va2ninp. Watch to @SteveWoz opinion of #SteveJobs and @Apple
66,Pos,RT @TripLingo: We're one of a few Featured Education Apps on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z
67,Neutral,@Motorola is the Best Android-powered company that is going against @Apple.
68,Pos,@bkad5161 than apologize to @apple ;)
69,Pos,Sorry @BlackBerry I'm moving to @Apple.
70,Neutral,Another shrewd business model move by @Amazon http://t.co/OQJRRYFq Rooting for the dark horse in the @facebook @google @apple war? #tech
71,Neg,Damn it @Apple!! Whatchu done to my phone??
72,Neutral,RT @bsdalton: @apple underplayed the power of the iPad via @mitchjoel &lt;yup #SOCAPac11
73,Neutral,@JarjarTee @apple That's really good. Makes you happy to pay the infamous @apple tax :)
74,Neutral,#BreakingNews @Gizmodo reports: @Apple #iPhone 4S sold over $4 million over the weekend! #TrueStory  http://t.co/BEj32s6a
75,Neutral,#Siri on @Apple #iPhone4S can allow unauthorized access to texts and emails even when the phone is locked!! http://t.co/0q5dLt22
76,Neutral,A must read article on @fastcompany about @Apple @Facebook @Google and @Amazon technology war in 2012  http://t.co/nxc7Wo4S
77,Neutral,Hey @Apple pretty much all your products are amazing. You blow minds every time you launch a new gizmo. That said your hold music is crap.
78,Neg,@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO
79,Neutral,is it me or @blackberry is begging ppl not to go @apple #iphone http://t.co/X3gdBUyK
80,Neutral,ok it is back @iphone @apple
81,Neutral,Going to the @apple store today to get this laptop situation figured out
82,Pos,Thank you @apple for your innovations. Exhibit A: Guy playing with Facetime instead of watching game at sports bar. http://t.co/oU7K39ge
83,Pos,hey @apple I hate my computer i need a #mack wanna send me a free one.
84,Neg,Ugh. WTF is up with all the bottlenecks @paypal @apple?
85,Neutral,RT @MarcMonster: Siri keeps trying to send me to escort services....is that legal? @Apple
86,Neg,ugh! @apple youre reservation page for the iPhone is NOT working.
87,Neutral,OH: Sales guy @BestBuy: I'm not selling or using any @apple products during my mourning period over Job's passing. hmmm..
88,Neutral,@apple @internode #icloud #ios5 #piracy omg no wonder ive used all my downloads!!
89,Neutral,@notleifgarrett @apple you'll be able to afford that mansion one day.
90,Neutral,@robcollingridge @Apple @Google Been looking at Samsung ChatON tonight very promising. Integrated with key apps http://t.co/DZsGPhqt
91,Neutral,@apple Why don't you have a wireless remote for Keynote presentations w a MacBook Air?  Nobody wants to see the pith man navigate w a iPhone
92,Neutral,Oops! Apparently @apple is some handle-squatter. Tweetbarassment.
93,Neg,RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.
94,Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/nDRpciY9 #PampersHelloApps
95,Neg,1st impressions  of #iOS5- Disappointed w upgrade restore. Lot of apps & folders missing @apple do  how much time went in2 orging it? #fail
96,Neutral,Big mo: In one week @Apple #iCloud hits 20M users; 25M use #iOS 5 http://t.co/HTpUTBFK via @cnet
97,Neg,@Apple on the #iPad with #iOS5 why has the Messages Icon been included when it can't be used?
98,Neg,@Apple #iOS5 gm on ipad1 is very slow wash better on beta7/8 solve this problem or give me the ipad2
99,Neutral,@adityasood @apple @Quora I totally agree was talking w/friends about that yesterday. Siri Everywhere!
100,Neg,Dear @apple One day you're going to release a version of iTunes that doesn't freeze more often than it works. One day.
101,Pos,Loving the new iPod update @apple
102,Neutral,iPhone 4S First Weekend Sales Top Four Million: http://t.co/O7zqnY7K (via @apple)
103,Neg,For being the inventor of the computer mouse  Why is it that @Apple has never made one that is not a complete piece of fucking shit?!!?
104,Neutral,Lol and what do those look like? RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management
105,Neg,Just searching with my voice on my 2 year old nexus one @apple.
106,Neg,Hey @apple the SMS full message is complete shit. Yes I'm annoyed.
107,Neg,An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.
108,Neutral,@apple so why is the ios support for 2nd gen ipods discontinued? It is only 3 years old? Give us an ios update please!
109,Neg,Waiting for items to copy in Itunes after everything DID copy goes on and on and on.  Come on @Apple what the hell?
110,Neg,I am so done with @Att and @apple 's profitering and lack of customer service so fucking down with both!!!
111,Neg,In less than an hour my post- #iOS5 iPhone has gone from 100% to 73% battery charge and the @apple store folks have no solution for me :(
112,Neutral,RT @fredbenenson: Hey @twitter and @apple this is pretty dumb. http://t.co/kubkPO0T
113,Neg,@Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownrunningprograms #nohelp
114,Neutral,strange i cannot put my newsstand app into any group. @apple wants to be our new paperboy #iOS #iphone
115,Neg,Warning: if iphone apps spontaneously loose data it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade @apple @marcoarment
116,Neg,2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.
117,Pos,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
118,Neutral,RT @CRMStrategies: Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @phil ...
119,Neutral,Is it JUST a coincidence that @Apple named their virtual assistant after Tom and Katie's robot daughter?
120,Pos,Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone
121,Pos,I absolutely love my iPhone 4S. Thank you Steve and @apple.
122,Neg,@NoVaTyler @apple Most of mine are gone too! Not recovered after I saved them b4 I upgraded my iPhone! Soooo pissed!
123,Neutral,@bidmyway I like your app for the @apple iPhone very simple and easy to use!
124,Neutral,@thatstevegray done that buddy just  surprised that there's no option from @apple & if you turn it back on it brings back the pics u delete
125,Neutral,has the new iOS5 changed the way the iPad charges? I've noticed I can charge from my laptop & iPhone charger now @toptweets @BBCClick @apple
126,Neutral,@dyanna299 you mean like Muhaimin @apple.com?
127,Neutral,too many companies don't have @apple management-- 60 sec vid-http://bit.ly/pwLpgQ #entrepreneur #startup @scalecomputing #pioniq
128,Neg,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss
129,Neg,@APPLE Wow @MOTOROLA Just crushed your dreams....
130,Neg,@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault.
131,Neutral,Head to our FB page for a link to the @Apple Community Support Page detailing how to turn off #newsstand auto renewal.http://t.co/65HPp0tu
132,Pos,Finally got my iPhone 4S thanks @Apple. Stupid @att. Learned my lesson.
133,Pos,@RickySinghPT got a new backside for my eye phone! V impressed with @apple
134,Neg,What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.
135,Neutral,Is @Apple's voice #tech really as impressive as the net thinks it is? http://t.co/Rbf23CNX #siri
136,Neg,@apple pls launch #Siri on iphone4 .. Disappointed after spending hours for upgrading to iOS5..
137,Neg,@apple my iPhone is charging very slowly!!!!!
138,Neutral,how do you sync gmail contacts with your iphone? help please! @apple @gmail
139,Neg,Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL
140,Neutral,SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator ---- Posts on Twitter
141,Neg,Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity
142,Neg,Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!
143,Neutral,can't wait for @Spotify and @Apple to integrate with Siri.
144,Neg,Hey guys at @Apple WTF is happening to #iPhone4 with #iOS5 suddenly fade to black and begin to vibrate continuously I had to reboot it
145,Neutral,Smart as hell. The Great Tech War Of 2012 (@fmanjoo / @FastCompany) http://t.co/XiJYUoHZ Fab Four: @apple @google @amazon @facebook
146,Pos,Thank you Steve @apple store 5th av. http://t.co/nSAisriP
147,Neg,Dear @apple: Why did all my PDFs and ePub files disappear from ibooks in my iPhone post ios5 upgrade? This hurts. #3GS #needsomethingtoread
148,Neutral,But @att is working with @apple to make their iPhone say 4G RT @JFSikora: @TCPJ_Mickey I'm so glad Apple is not slinging that crap.
149,Pos,Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing because you are doing it well! http://t.co/ZZc6bE0w
150,Neg,+1  RT @Doug_Newton: @apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!
151,Neutral,Just had a look on eBay for iPhone 4s and some have 131624 bids at well over 500 some 530 (16gb white)  they are 499 delivered @apple
152,Neutral,RT @carlmilner: RT @petapixel: iPhone 4S vs Canon 5D Mark II - A side-by-side comparison of 1080p HD video: http://t.co/qMyMIV7z &lt;&lt ...
153,Neutral,Just realized Apple doesn't even have @Apple on lock. This dude R.J. Pittman waiting for thee fattest check.
154,Neutral,Over the weekend @Apple sold more than 4000000 iPhones. Thats about 16 iPhones sold every second.
155,Neutral,@Apple feel free to accidently ship me a new iPhone 4s #nobigdeal
156,Neutral,@apple can you get your iphone to stop vibrating when you get a text?
157,Neutral,eating @apple xDD
158,Neg,total time on the phone with @apple: 1 hour 27 minutes. let's see how this goes.
159,Neg,Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE Y RESTRICTIONS ON MY SMS?  Y NO TEXTS.... #iOS5 #iOS5atemydingo
160,Neg,So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?
161,Neg,@hbogo @apple - why don't you play nice and let me use HDMI from iPad?  Pretty lame.
162,Neutral,In front of the @apple store. So many blue shirts I feel like I'm at a smurf reunion. #iPhone4S
163,Neutral,A Great iPhone 4S Review @engadget @iphone @apple http://t.co/gX07Qywe
164,Neutral,after being on hold with @apple for the last 30 mins i really like their music selection of on-hold music. White Stripes Ray Lamontagne...
165,Neg,@Apple you're killing me. Excited about iOS5 no longer- tragic battery drain genius bar wants to replace the battery. Really?
166,Neg,@apple the reservation system not working shows no products avail let alone iphone 4s I had the site open in 3 browsers at 9 PM and nothing
167,Pos,I just realized that the reason I got into twitter was ios5 thanks @apple
168,Neutral,What? Are we not buying enough iPads already @apple ? Give us a break while we learn to cope with a post Steve Apple http://t.co/w7GTxQZ0
169,Neutral,@apple and @nintendo need to partner up for the app store
170,Pos,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!
171,Pos,@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??
172,Pos,My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job @apple.
173,Neg,IOS5 has one problem when i save someone in my contacts they don't show his nam becuz of the region/ +965 @apple #apple
174,Neutral,So apparently that's not the correct @apple
175,Neg,. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed
176,Neg,Clarence Thomas must have designed the new OSX lion tossing decades of workflow standards @apple bring back save as! #autoSaveSucks
177,Neg,Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f
178,Neutral,@ATTCustomerCare @att @apple I already have an iPhone 4 with an ATT contract. Can I buy a factory UNLOCKED iPhone 4S with my contract?
179,Neutral,@davidcohen Sounds like 2nd day strategy isn't working. We got ours yesterday - in and out in no time. @Apple staff awesome/efficient!
180,Neg,Ok this @Apple software update for the #iphone is taking waaaaay too long!#annoyed
181,Neutral,Or hide it.. RT @LucasBlack: Dear @Apple.Re: Newsstand. Don't advertise magazines for free:they're NOT free.Alsoallow us to remove the app.
182,Pos,#sweet... #apple replaced my glass #probono. thank you @apple
183,Neutral,@Apple received 1m pre-orders in a single day for its new iPhone 4S #consumer_demand #steve_jobs
184,Neutral,POLL: http://t.co/9q2Er1w9 Q:R U pissed @Apple banned this video? #Apple #iPhone4S #Siri #F8ball
185,Neutral,@fabi_m not that I know of. I think it is only on iOS should get @apple to make a desktop app :)
186,Neutral,Hey @Apple - need more servers for Siri traffic?  I'm sure Google can help you out with that...
187,Pos,RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
188,Neutral,Stay young stay foolish. But take ownership when u f*ck up don't complain and never give up. #resilience @apple
189,Neg,@Apple - #Siri is not working due to network problem? Seriously? Can you fix this? #iPhone4s #Fail
190,Neutral,IHS: iPhone 4S shows key design and component changes. http://t.co/UxfA8Ukg  @apple #apple #iphome4S #ios5
191,Neg,My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!
192,Neutral,RT @stalkertard: hey @apple how about if IPhone4S = IPhone 4 Steve and you donate a small portion of the proceeds towards cancer rese ...
193,Pos,RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple
194,Pos,4 millions in a weekend 16 #iPhone4S per second. This is madness?! no this is @Apple !!!
195,Neutral,Just made the switch from @BlackBerry  to @apple and never looking back! #bbwho?
196,Neutral,Gee I can't imagine that the maps app graphic from this Samsung website will help their court cases vs. @Apple: http://t.co/PmanMoAh
197,Neg,@robert_terpstra no worries bud ps: they're saying that the 4s is having a lot of network issues right now. (I'm @apple for mac problems)
198,Neg,@semilshah yeah except that when you ask for a receipt it takes them 30 minutes to figure out where it printed out. Fix that @Apple!
199,Neutral,@ATT just so I have this right.I pre-ordered an iphone last wk and it will be here in a month. I could buy in an @apple store today.really?
200,Neg,Turns out my computer isn't as fixed as it is meant to be. Fuck you @Apple I'm going back to your Genius Bar to complain. #annoyed
201,Neutral,Bouquet for Jobs @Apple Store Nagoya http://t.co/pmEcxPug
202,Neutral,Steve's last Design is apparently the @apple #apple #iPhone 5 | http://t.co/DIfQTmwm
203,Neutral,More Twitter buzz for Apple Store: http://t.co/hLybd7uc - RT @ji_lee started out as a trip to the @apple store. turned into a spontaneou...
204,Pos,@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s
205,Pos,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!
206,Neg,Seriously - I have absolutely no offing clue what @Apple means by authorization nor how to do it.
207,Neg,@apple why isn't my iTunes updating? I just wanna update my iPhone to IOS5!!! Then iTunes says that it needs to update to do it. Then fails!
208,Neutral,bored - need a new intriguing #app for my #iPad.  Any suggestions?  @apple #yyc @Gadget_Guy
209,Neutral,@apple @iphone sold more because its in more retail duhhhh. Also woz is correct people dont want tech answer just simple child like ones ok!
210,Neg,Boy could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? You must authorize this computer
211,Neutral,And @Apple I still have an old MBP from 2006 which I use - which can't run #Lion I still like to sync it!
212,Neutral,@Apple hits @Samsung in court again - http://t.co/l6brF3yB
213,Neutral,@learmonth @Cue improves iMessage + engages @Apple content partners' customers better http://t.co/hhkvlwFB with social activity messaging
214,Neutral,What do we have to do to get Flash on #iPad? @Apple please please please change your mind. Thank you in advance! @kusi_sk  @PeterNemcok
215,Pos,@apple @siri is efffing amazing!!
216,Neg,@apple If you want to know what customers think dont send updates with the noreply return address. Who invented that anyway. #useless
217,Neutral,@brady I am surprised @apple did not think of/anticipate that......
218,Neg,@electricsoup It has to connect to @Apple to process commands which it is failing to do right now
219,Neg,I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple
220,Neg,and only the first 23 images in my Photo Roll made it over? Seriously @apple how did you fuck this up so much?
221,Neutral,@AsimRang @apple @umber well so far ive seen it for apps
222,Neutral,yes i am live tweeting my @apple tech support call. Isn't this fun?
223,Neutral,when is @apple gonna update the fact that i can't see emoji on twitter for mac?
224,Neutral,@Mvm549 well if it told you what you did to it or how it happened it would be concrete evidence that @Apple is logging your life. :l
225,Pos,_ibertaddigital.tv/ iPad a briliant SteveJobs produck http://t.co/00ohfLY6@Apple present... http://t.co/DBbWSDpx
226,Neutral,RememberiN wen @apple and @blackberry were just fruit#nostalgia
227,Neutral,@RhiannaRaee hanging @apple in tacoma listening to the beatles!
228,Pos,Love my new I0S5 @Apple updates. Just when I think it can't get any better somehow it simplifies my life more. That's right-it's an Apple.
229,Neutral,#iMessage is here wid iOS5 RIP #BBM @cultofmac @apple
230,Pos,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
231,Neutral,@apple in Austin:  domain location - umbrellas are nice but being staffed properly would be better.
232,Pos,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)
233,Pos,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
234,Neutral,@apple and I'm looking at the outside & all you see is sticky notes about steve jobs
235,Neutral,@Apple @Facebook @Google and @Amazon battle in...The Great Tech War of 2012 http://t.co/uL9zZKv8 by @fmanjoo
236,Neutral,Interesting read on war b/w @Apple & @Samsung- http://t.co/Vt9d24Yi -using latter agree lack of innovation but better specs at same price!
237,Neutral,@fashionNOGuilt haha! tomorrow should be less hectic too! 'cause everyone and their moms was at the @apple store today! ;]
238,Neutral,A court in Sydney banned the sale of @Samsung 's Galaxy Tab in Australia over intellectual property infringement claims by @Apple  #IP_wars
239,Pos,#iOS5 update submitted to @apple! Thanks for all the support!
240,Neutral,Hey @apple androids releasing brand new state of the art phones whens your new phone come out? What's that? (cont) http://t.co/2sko9l3d
241,Neutral,@Apple's Steve Jobs Gets His Day | PCWorld http://t.co/6gT6w2Od
242,Neg,Overall I am a fan of the iPhone 4S; however my Siri has issues connecting to the network @Apple
243,Neg,@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products customer service sucks. in NZ?
244,Neg,#DontBeMadAtMeBecause #Android is by far better than @Apple
245,Neg,Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!
246,Neg,Had issues with #Siri reaching network today. Too many uses or my signal? @apple
247,Neg,Spoke to an @Apple rep on phone & could hear her tv blaring in the bg.  She said I can't actually help u just direct u back to the web
248,Pos,Hell yes!!! Got my contacts back!!  Thanks @apple
249,Neutral,@Apple  I asked Siri 'if she swallowed' she relied 'Lets see' - wtf do i do now? wank over my phone?
250,Neutral,Is leaving Steve's photo on the @apple home page what he would really want? In his honor...let's get back to innovation!  Eh @mark_newton?
251,Neutral,Flowers & Apples shower the Santa Monica @Apple store in honor of #SteveJobs http://t.co/xGf60gMs
252,Neutral,The four American companies that have come to define 21st-century on the verge of war. @Amazon @Apple @Facebook and @Ghttp://t.co/PxUlr5dw
253,Neutral,So @apple the new iMessage is great and all but is there a way to default to SMS when I'm not on wifi? I have limited data.
254,Neg,I really hate that @apple won't let you hide the Newsstand app or move it into a folder. It serves no purpose for me.
255,Neg,This is the first time I've been unhappy with any @apple product... Disappointed and the Internet seems as confused as I am right now.
256,Neutral,@tvnewschick @apple Oh no! Why not?! I want it to be love-love-love! It's a lot of dough to spend otherwise...
257,Neg,@apple cu
258,Neg,So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple
259,Neutral,iPhone 4S vs Canon 5D MKII. @apple @canon @iphone http://t.co/PvKqad33
260,Neutral,Lmao RT @RobynheaRtz: He asked Siri where's the hoes at & she told him where the nearest escorts were I love @apple
261,Neutral,Thanks @apple my girlfriend likes #siri more than me now.
262,Neutral,#Steve #Jobs #Tribute iPhone 4S Cases Now Available #iphonecaseshttp://t.co/2hyurIiq#stevejobstributecases@ikaveri @iamsrk @apple
263,Neutral,The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget
264,Neutral,RT @rickholgate: Packed session on @Apple and @Google at #GartnerSYM. Indicator of today's mindshare?
265,Neutral,Hall Pass had me rolling...... @Apple bee's lookin for nookie really
266,Pos,@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to Will it blend? Glad to hear it's still alive.
267,Pos,We're one of a few Featured Education Apps on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z
268,Neg,Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall
269,Neutral,iPhone 4S 8MP camera : Its a SONY. http://t.co/BIqBEhTb @sony @apple #apple #iphone4S #cameras
270,Neutral,@rjakesuk mine is past the warranty and I don't have AppleCare. #ios5 @apple
271,Neutral,Apple have just announced they sold 4 million phones this weekend. Incredible. That recession continues to bite @apple #recession
272,Neg,RT @leiboaz: Wow worst @apple customer service experience ever. Arrogant and inept. Bad combo Biltmore Apple store.
273,Pos,Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
274,Neutral,Evolution of @Apple Ads 1975-2002: http://t.co/QTOqOZ42 @thesavoia #stevejobs #tech #art
275,Neg,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5
276,Neg,Suddenly lost all address book on @3GS iPhone. And someone was using my @Apple ID. It all fucked up.
277,Neutral,As tribute to Steve @apple i'd consider renaming #Siri to Steve - he'll get your #Jobs done!  Forever remembered for his legacy.
278,Neutral,@fundingroadmap @apple also knowing that this is no ending http://t.co/q08cBcuE
279,Neutral,@robcollingridge @Apple @Google and with a URL that works http://t.co/vGSf529q
280,Neutral,Really @Apple and @ATT - Removing the 3G/EDGE switch on iOS 5? You do realize that you work on the 3G network in places often right?
281,Pos,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
