,label,text
23,Neutral,@Dropbox balked at acquisition by @Apple. My apps thank them. :)  http://t.co/VsYPl9Xu
24,Neutral,@Apple how fun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?
25,Neutral,@KaeKaed @Apple Here is an easy way to put Newsstand in a folder http://t.co/yVXmWIbI
26,Neutral,macbreak weekly @TWiT via @apple airplay in full HD on the 42. finally! @leolaporte @Ihnatko @alexlindsay
27,Neg,@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...
28,Neutral,@apple Or @Microsoft Buying Out @RIM ?
29,Neg,fuck u @apple
30,Neutral,@Apple Scrapple. (:
31,Neg,Never purchasing another item from @apple.
32,Neg,screw you @apple iOS 5. I can't download this crap and I'm tired of trying. Get this problem figured out about my connection timing out
33,Neutral,@Apple Y U NO LET ME PRE-ORDER IPHONE 4S?
34,Neutral,If I was @Apple I'd publicly denounce and file suit against @Nuance. Then buy 'em on the cheap. #Siri
35,Neutral,Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/XVcch6Os #PampersHelloApps
36,Neg,yo @apple this update is a disaster
37,Neutral,@Apple buried the ability to manage #newsstand subscriptions under App Store Settings. This is inconvenient at best.
38,Neutral,@Apple iOS5 is all well and good and has nice new features but I'm still waiting on an app that will go to work for me.
39,Pos,@apple by far the best iPod and first time iPhone ever.... Good job guys
40,Neg,Dear @apple your staff at the Little Rock store answered my first 3 questions with I don't know. they weren't hard questions.
41,Neutral,ok @apple now we got our iOS5 and #icloud can we please have #LogicX
42,Pos,--- RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
43,Neg,what is going on with all my @Apple products?! First my #iPad freezes (still is frozen) and then my #iPhone won't turn on!!! #techieTroubles
44,Neutral,Why can't I check just Notes (without mail) on Lion for #iCloud like I do on the iOS devices @apple ?
45,Neutral,I promise this iPhone been at 1% battery for the last 3 hours. I see you @apple.
46,Neutral,@jackiestone1 yes! Tech peeps talk so much about algorithms but tech should always tie back to people. @apple proves this #imediasummit
47,Neg,Pondering the iOS update... From the sounds of @MikeFerri's difficulties I may just hold off :/ @Apple FIX IT!
48,Neutral,Packed session on @Apple and @Google at #GartnerSYM. Indicator of today's mindshare?
49,Neg,@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.
50,Neg,Is it me or does #iPhone4s run a little warm sometimes? @apple
51,Neg,DAMN YOU !!! @apple
52,Neg,oh.. my iphone is overcapacity huh?! -____-  @Apple won't let me be great!!!
53,Neg,@Apple would do better to inform customers properly about migrating to #iCloud - many complaints lead to #image damage http://t.co/QL7zmPpO
54,Neg,I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release... My battery is seriously ailing.
55,Neutral,Found out the hard way today that @webex does not work with @apple ios5 yet when you are following a link for a meeting..
56,Pos,@Apple Safari Reader owns the worldwide web
57,Neg,Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.
58,Pos,#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things
59,Neutral,@KeepnUpWitTBoyd @AppStore @iTunesMusic they fixed a bug Thursday after I had done my update? Thus my issue spent Fri @apple  #iOS5
60,Neutral,Thinking more I want Android to do an iMessage service & for @Google & @Apple to interconnect. They would if the cared about their users.
61,Neg,Dear @Apple how convenient/handy/thoughtful/smart that after iPhone #ios5 update you're apps won't work anymore! (none!!!) :( #gr%\mbl^.%)
62,Neg,Der iCloud I HATE U  AND I HOPE YOU DIE  YOU ARE THE WORST FUCKING INVENTION IN THE WORLD  FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs
63,Neutral,Hi @apple. Household has 4 iphones 2 ipads 2 minis 2 apple tv AirPorts Timecapsule +. Whats a usable iPhoto sharing setup? /cc @maddox
64,Neutral,iPhone 4S First Weekend Sales Top Four Million: http://t.co/Dm4acTYv via @Apple themselves. Big sales for the new phone.
65,Pos,Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s
66,Neg,Dear @Apple Contacts you are terrible. I just cleaned duplicates for 3 hours and they magically reappeared. Fix it.
67,Pos,Wow I am loving this new @apple update for my touch. #coolness Well done
68,Neutral,Today's headline: @apple reports lower 4Q earnings. Headline in 3 months: @Apple reports record Q1 earnings.
69,Neg,Waited in line for nothing fucking genius @Apple called an app for John not jean stop fucking up my name im not a French boy. #PCam ...
70,Neutral,Can someone explain to me how the hell iMessage differs from a text message? @Apple #fb
71,Pos,@apple..good ipad
72,Pos,Just downloaded IOS 5. It's better than I expected! #thankyou @apple
73,Pos,New iOS 5 update is THE BEST. iloveyou @apple
74,Pos,The nice @apple tech support guy fixed my iTouch =D
75,Neutral,this reader button for safari is perfect for fic @apple #ios5 #stevejobsday
76,Neg,@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!
77,Neutral,@bxlewi1 hey...do you know why @Apple hasn't added 4G support yet? Seems like an odd omission for such an advanced device.
78,Neg,RT @tomcolontonio: Didn't it occur to @apple #apple that ppl share iTunes accounts amongst family's ?????Wtf!!!!
79,Neutral,@samsung and @apple never rest as they battle in court yet again over tablets.(not the pills)
80,Neutral,@Apple Not Likely to Win Appstore Suit Case Against @Amazon http://t.co/GNcDGQsc
81,Neutral,@SteveJobs : @Twitter overwhelmed by reaction to @Apple founder's death - Telegraph http://t.co/tqF6pjf5
82,Neutral,Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/2XJZaLCs #PampersHelloApps
83,Neg,RT @ScottDugas: Warning: if iphone apps spontaneously loose data it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade  ...
84,Neutral,#opinion @Samsung need to be careful in @Apple patents issues - it looks a lot like you 'learned' a lot by making their chips!
85,Neutral,@Late_Show I would have watched but the folks at @apple have a jihad against adobe flash. Plse consider a YouTube link in future on UR site
86,Pos,@Apple will be adding more carrier support to the iPhone 4S (just announced)
87,Neg,By far the worst experience upgrading out of any version of iOS @apple #iOS5
88,Neutral,RT @Apple sells 4 million iPhone 4S in 3 days http://t.co/vElmtzNS via @reuters
89,Neg,@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the newest model are suckers...
90,Neutral,U pick Camera&Iphone4s orCamera&Ipad2?????????????? @apple
91,Pos,Great up close & personal event @Apple tonight in Regent St store!
92,Neutral,@apple store NY
93,Pos,I just sent my grandma a post card using my #CardsApp thanks @Apple
94,Neutral,@apple Iphone's & Ipad's beautiful technology but alltogether mainly a marketing platform. It's obscure is'nt it? Apple lost it's touch.
95,Neg,Now @apple won't let me use credit on @iTunes unless I have a credit card. Should have told me when I redeemed the cards. Sound fair to you?
96,Neutral,Using @Apple's mobile @AirPort Utility http://t.co/TiDpaHYC
97,Pos,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed
98,Neutral,Waiting patiently for me at the @apple store. @Badog420 http://t.co/NaFaeXuh
99,Neutral,RT @Porter_Anderson: 3 principal global players will be active in every market...@Amazon @Apple & @Kobo. #fbf11 #publaunch @MikeShat ...
100,Neutral,@apple How much is the student discount on the MacBook Air in Canada? Your reps have said both $50 and $100. Which is it? Thanks! #laptop
101,Neutral,IHS: iPhone 4S shows key design and component changes. http://t.co/Y3Mali6y  @apple #apple #iphome4S #ios5
102,Pos,Kind of excited. On my way to my last class right now and then going to the @Apple store so buy #MacOSC Snow Leopard and Lion :-)
103,Neutral,#SaturdayCute: Shit That #Siri Says. @Apple designers knew what people were going to ask the new digital assistant... http://t.co/Ecji1iIo
104,Neutral,@AsgariAJ #iPhone need to tell @Apple that
105,Neg,I will never purchase another @Apple product for the rest of my life. I am glad Steve Jobs is fucking dead. MAY YOU FUCKING ROT IN HELL!!!!!
106,Pos,It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!
107,Pos,Good support fm Kevin @apple #Bellevue store 4 biz customers TY!
108,Pos,Gone for a run beautiful morning  man do I love iOS 5 @apple #iPhone
109,Neutral,http://t.co/48emAEID #SteveJobs memorial @Apple #Boylston
110,Neutral,Hey @Apple could you hook the voice memos app on the iPhone up with fine scrubbing? Journalists need love too.
111,Neutral,RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc ...
112,Neutral,Lemme just say iOS5 is mad cool BUT it needs A LOT of bug fixes @Apple
113,Neutral,Great post on the upcoming Great Tech Wars of 2012! @amazon @apple @google @facebook http://t.co/OSeqhT7W via @cbillich
114,Neutral,@ireton Perhaps it's time for @Apple to come out with an app called iSuck that lets you know which apps are killing your battery life
115,Neg,9% now on my second full charge of the day. Pissed @Apple
116,Neg,It's been 24hrs since I reported @ups theft of my iPhone and @apple has done nothing. No return call as promised. Nothing.
117,Neutral,How I manage my businesses/life: @pivotaltracker @37signals @twitter @googleapps @apple @dropbox @wordpress @dreamhost THX
118,Neg,RT @MikeFerri: If @apple doesn't fix iOS5 this week I'm buying a droid #emptythreats
119,Neutral,RT @DailyDealChat: @bidmyway I like your app for the @apple iPhone very simple and easy to use!
120,Pos,@Apple iOS 5 is sweet! Notifications phone search covers mail now wifi sync iCloud backup and integrated Twitter are all well done.
121,Neutral,WOW DOGS!!@Apple w/Starr earlier - upstairs in the huge soho store and all of a sudden she sprung to attention... http://t.co/b2PLMYVD
122,Pos,@rygurl you need an @apple iphone4S with Siri!
123,Neutral,I am now the proud owner of @apple tv thanks to big bro @steveeadie and family!!
124,Neg,Asked #Siri Where's Baby Lisa? and was told sorry I'm having trouble connecting to the network right now. @apple server fail. #ios5
125,Neutral,@coatgal @apple Paul had a chat with an advisor explained the problem : cost 120 repair !!BUT wait for it  drumroll . . . .
126,Neg,RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...
127,Pos,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
128,Neg,Why book @Apple Genius Bar if after 2.5 hours you still can't be served. Disappointing Apple Store Sydney. #thanksfornothing
129,Neg,@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em
130,Neutral,@_alastair w/ respect the old alternatives were talking to a computer in india or the geek squad. @apple does a pretty great job.
131,Pos,@apple loving the new IOS5 upgrade for the iPhone!
132,Neutral,Check this video out -- moe. plays Live on iPads. Video dedicated in memory of #SteveJobs http://t.co/XSiyDnqu @ipad @mac @apple #brilliant
133,Neg,@azrael: RT @DavideGori: And again #MobileMe is down. Issues when syncing accessing mail... is this a good premise for #iCloud? @Apple ...
134,Neg,should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience
135,Neutral,Apple shares hit new all-time intraday high: http://t.co/uY35rrRU #win @Apple
136,Neg,@apple needs to hurry up and release #iTunesMatch
137,Neutral,@pkedrosky @apple I am just waiting for my conf email from iCloud.
138,Neutral,My friend @bm88 found this article on the #ios5 battery drain problem http://t.co/zMX85Fkd @apple
139,Neutral,#fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B
140,Neg,Terrible customer service at Los Gatos @Apple! Why do I have to pay $199 for a bad home button on my iPhone?!?
141,Neutral,@notleifgarrett @apple wished their on hold music played Pictures of You.
142,Neg,I really hate dealing with the brain dead people at the @apple store. For such good products customer service sucks.
143,Neg,@apple WTF why can we not add the newsstand to a folder?! We are already in your walled garden so please don't remind us of it.
144,Pos,Lmfao look at the argument I had with Siri !!@ijustine @apple http://t.co/D4VjL7SI
145,Pos,Well at least the @apple store has amazing call waiting music! #need4s
146,Neg,Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.
147,Neg,Samsung seeks iPhone 4S ban in Japan and AustraliaPatent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk
148,Neg,RT @JimMcNiel: if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is havin ...
149,Neg,#ios5 getting sloppy @apple. U need to check your QA team. Too many issues with apps data and syncing
150,Neutral,@AsimRang @apple @umber the podcasts feature works just fine music purchasing is straight forward what else do you want?
151,Neutral,Follow me and I follow you!! @iOS5 @fansoflilwayne @follow @apple
152,Neutral,Dear @apple as a hoh/deaf user can you please add options for stronger and longer vibrate for #iphone4s ? Thank you! #hoh #deaf #ally
153,Neg,dear @apple why you gotta go change the way &lt;input type=number&gt; is handled out of the blue?
154,Neutral,Can someone explain to me how the hell iMessage differs from a text message? @Apple
155,Pos,i love this. so much. thank you @apple.  http://t.co/Ui8lOEzX
156,Neutral,At @Apple HQ
157,Neutral,@apple expanded the app store to more than 20 new countries in the december quarter
158,Neutral,Hey @apple why is Siri not available for the Mac?
159,Neutral,POLL: http://t.co/GcrpUKwF Q:R U pissed @Apple banned this video? #Apple #iPhone4S #Siri #F8ball
160,Neutral,@NoVaTyler I lost a lot that I paid for @apple @WordsWFriends etc! #nothappy oh well poop happens
161,Pos,Hey @apple if you send me a free iPhone (any version will do) I will publicly and ceremoniously burn my #BlackBerry.
162,Neg,@chascouponmom @apple I get they are busy w/ the new phone but I just wanted to buy a stylus. they made me wait forever outside & never
163,Neutral,RT @DJTREBEL1: #fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B
164,Pos,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.
165,Neutral,Dear @apple why did my #Apple ID change to my colleagues&#39; when I charged on her Mac? Now can&#39;t download or update apps. #iPhone
166,Neg,@apple: Multiple times siri is having trouble connecting to the network.  Siri needs servers (and some exercise!)
167,Neutral,Do wish @hudl would come up with a native @apple Mac version of their video editor especially with HD video.  But love everything @hudl
168,Neg,@apple thanks apple for ios 5 and losing all my contacts!
169,Pos,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
170,Neutral,RT @aplusk: Sending love & light to everyone @Apple & the entire Jobs family.Today we lost a Giant who will be missed even by those who  ...
171,Neutral,At the Genius Bar... Waiting @apple store
172,Neutral,I have 4 @Apple products...
173,Neg,Ok @iTunesMusic idk wth is up but after syncing my phone my album art is out of order! WTF @Apple!
174,Neutral,This is better than *every* magazine having their own #app! @EatMagazine @Apple supports magazines. #Ipad upgrade adds Newsstand #app
175,Neutral,http://t.co/CvEKdOIQ line at @Apple northpark #dallas mall. #4GSiPhone
176,Pos,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
177,Neg,@apple @iphone Please deliver my daughter's i4s she is driving me nuts #iphone
178,Neutral,Apple Users Get The official Kalifornia Cavi App on your Apple Device now on  - powered by @Apple - Download it free http://t.co/HlGnvlRw
179,Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/AAP7StHt #PampersHelloApps
180,Neutral,Thank You Steve : A Song Created for Steve Jobs http://t.co/2vtX8ZJf via @TechHamlet @AzRmusic @Apple #stevejobs #apple
181,Neg,@azee1v1 @apple @umber Proper consolidation proper syncing stop losing my PURCHASED items checkboxes that do what you think they will do.
182,Neg,So cutting the cord makes podcasts even harder to manage?!? No subscriptions! WTH @Apple? http://t.co/LD2i871x #iOS5 (via @carrypad)
183,Pos,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
184,Neg,Thanks to a 90 minute wait on hold half an hour actually talking to someone the @Apple tech decides to send me an email to fix my phone
185,Neutral,20 min line @apple store @short pump.
186,Neutral,Dear @Apple If I make love to iCloud will ALL THE THINGS have my babies?
187,Neg,Apparently @Apple genius training doesn't extend to clocks & service. They're half an hour late for my appointment and couldn't let me know?
188,Neutral,@iancollinsuk @Apple what's incredible is that people still buy into apple as world beater's.....not true anymore.
189,Neutral,Ok so it was a lion and not a leopard. Too much upgrading this weekend. @apple
190,Neutral,@Apple why no Macbook mirroring onto AppleTV via #Airplay?
191,Neg,One would think the voice recognition on the @apple tech support line would work a little better.
192,Pos,Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple
193,Neutral,@BeeeThree I am aye I wasn't @apple
194,Pos,Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today out of warranty.
195,Neutral,#iPhone4S in #Space http://t.co/glOaXhLe via @youtube#nasa @apple
196,Neutral,What's up #twitpeeps? How's every @apple user liking iOS 5?
197,Pos,Is it just me or is #iOS5 faster for the iPad? @apple
